,video_id,Input.video_id,Input.video_description,title,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,primary,secondary,video_url_tiktok,type,subtype,severity,HITId_A,HITId_B,AssignmentId_A,AssignmentId_B,WorkerId_A,WorkerId_B,SubmitTime_A,SubmitTime_B,note_A,note_B,severity_A,severity_B,body_A,body_B,sponsored_A,sponsored_B,type1_A,type1_B,subtype1_A,subtype1_B,type2_A,type2_B,subtype2_A,subtype2_B,filename,embedded_text,audio_class,whisper_transcription,HITId_B.1,HITId_B.2,AssignmentId_B.1,AssignmentId_B.2,WorkerId_B.1,WorkerId_B.2,SubmitTime_B.1,SubmitTime_B.2,note_B.1,note_B.2,severity_B.1,severity_B.2,body_B.1,body_B.2,sponsored_B.1,sponsored_B.2,type1_B.1,type1_B.2,subtype1_B.1,subtype1_B.2,type2_B.1,type2_B.2,subtype2_B.1,subtype2_B.2
0,7319617792557272362,,,,2024-01-02T21:35:38,53.0,US,10.0,0.0,0.0,384.0,"New year, new things! #mentalhealthsupport #inspire  #mentalhealth #motivation #motivationalspeaker #itsoktonotbeok #love-yourself #positivethinker #love #thankful #helpisontheway #carchronicles #doyou #havefaith #blessed #goodvibes #support #selfcare #youarenotalone #igotyourback",False,,eliotdavisspeaks,EliotDavisSpeaks,,,,,,False,,,,Irrelevant,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,@eliotdavisspeaks_video_7319617792557272362.mp4,@eliotdavisspeaks,Speech,"What is good everybody? Happy New Year. First video of the new year. Happy to give it to you. Love y'all. Appreciate y'all man. Just want to thank y'all for supporting me through 2023, 2024. Hopefully give y'all more, better content. More things coming. So I'm thankful for y'all man. But what I really want to tell y'all is man, whatever happened in 2023 is over. It's a new year. We doing new things. We doing bigger and better. Whatever happened last year is last year. We not for none of that. So whatever was holding you back, we gonna take them lessons, we gonna take them losses, some things we learned and we gonna improve so we can be better in 2024. It's not that 2024 ain't gonna have it's harshest man. Everybody goes through it. You gonna have some moments. It's gonna be some difficult moments in 2024. But it's not gonna stop us. Because what we learned in 2023, gonna help us get through what we learned for this 2024 and so on and so forth man. So keep grinding, keep pushing. God bless. Have a great day.",,,,,,,,,,,,,,,,,,,,,,,,
1,7445041991664012599,7.445041991664013e+18,The best form of testosterone for TRT.  DM me to learn more  #testosterone #trt #fitnesstok #bodybuilding #gymtok #musclebuilding #onlinefitnesscoach #fatloss #viral,@coachlittlejoe92_video_7445041991664012599,2024-12-05T13:25:27,47.0,CA,4056.0,479.0,240.0,167600.0,The best form of testosterone for TRT.  DM me to learn more  #testosterone #trt #fitnesstok #bodybuilding #gymtok #musclebuilding #onlinefitnesscoach #fatloss #viral ,False,,coachlittlejoe92,coachlittlejoe,44600.0,72.0,221500.0,183.0,1018.0,False,Supplement Abuse,Anabolic Steroids,https://www.tiktok.com/@coachlittlejoe92/video/7445041991664012599,Supplement Abuse,Legal APEDs,3.0,3FULMHZ7PF6D0W6RKRW6DJBQAMSM4O,3FULMHZ7PF6D0W6RKRW6DJBQAMSM4O,37UQDCYH6J4VWPGDQJ06RB9S9K0V7N,34MAJL3QPQWE1TWB4BWT54XZRYT34Q,A13G62T12BHUJV,A3VV4BDC7NDBXY,Sat Jul 05 20:40:10 PDT 2025,Wed Jul 23 11:56:56 PDT 2025,,,4.0,2.0,Yes,No,No,No,Supplement Abuse,Supplement Abuse,Hormones,Legal APEDs,Not Applicable,Not Applicable,,,@coachlittlejoe92_video_7445041991664012599.mp4,"Which
TEST C
or
SUST TEST C
or
When doing TRT,
it is more ideal
Test Cypionate
and here's why.
It's gonna be
more stable in your system
with only having to do
an injection frequency
of about once a week.
And since it is only
one ester,
and it's a longer ester,
that means your
hormone levels are going to stay a
more stable
throughout the process.
Using something
like sustanon
is not ideal,
because you're gonna be
having a
form of testosterone
that's a combination of
different esters,
which means
your hormones
are more likely to be
fluctuating,
and you'd also have to
do more frequent injections,
which is not ideal.
When it comes to TRT,
I highly recommend
you choose
Testosterone Cypionate
because it's the
best choice to optimize
your testosterone levels.",Speech,"Which form of testosterone is the best for TRT? Tessiponate or Sustanon? When doing TRT, it is more ideal to use Tessiponate and here's why. It's going to be more stable in your system with only having to do an injection frequency of about once a week. And since it is only one ester and it's a longer ester, that means your hormone levels are going to stay a lot more stable throughout the process. Using something like Sustanon is not ideal because you're going to be having a form of testosterone that's a combination of different esters, which means your hormones are more likely to be fluctuating and you'd also have to do more frequent injections, which is not ideal. When it comes to TRT, I highly recommend you choose Testosterone Siponate because it's the best choice to optimize your testosterone levels.",,,,,,,,,,,,,,,,,,,,,,,,
2,7325842258350083333,7.325842258350083e+18,aggressive mode activated.        #larrywheels #gym #gymmotivation #tiktok #workout #fyp #fitness #aggressive #modeaggressive #aesthetics #edit #gymedit #passivaggressiv #testosterone,@heleno_2.0_video_7325842258350083333,2024-01-19T08:09:30,16.0,BR,3247.0,38.0,8.0,100000.0,aggressive mode activated.        #larrywheels #gym #gymmotivation #tiktok #workout #fyp #fitness #aggressive #modeaggressive #aesthetics #edit #gymedit #passivaggressiv #testosterone ,False,,heleno_2.0,heleno_2.0,11100.0,2839.0,357600.0,360.0,10800.0,False,Relationship to Exercise,Toxic Motivation,https://www.tiktok.com/@heleno_2.0/video/7325842258350083333,Relationship to Exercise,Excessive Exercise,3.25,3GITHABADJU9F0C4SESIXJ3SVY72N9,3GITHABADJU9F0C4SESIXJ3SVY72N9,3LEP4MGT329W4KJHCFCSQRPHS3QBDT,3CP1TO84PFA7CU4SEG1YRMYLLGO52M,A13G62T12BHUJV,A3VV4BDC7NDBXY,Sun Jul 06 13:29:19 PDT 2025,Wed Jul 23 11:44:09 PDT 2025,,,4.0,2.5,No,Yes,No,No,Relationship to Exercise,Relationship to Body,Excessive Exercise,Muscularity Self-objectification,Relationship to Body,Relationship to Exercise,Muscularity Self-objectification,Excessive Exercise,@heleno_2.0_video_7325842258350083333.mp4,When 225 bounces off you 😂,Music,,,,,,,,,,,,,,,,,,,,,,,,,
3,7298372792758701358,7.298372792758701e+18,Life comes at you fast  Funny Gym Moments. Gym Comedy #GymTok #fittok #fyp #gymfunny #gymcomedy #gymmeme #gymhumor #humor,@galore.xxii_video_7298372792758701358,2023-11-06T07:34:17,9.0,US,6045.0,49.0,71.0,82800.0,Life comes at you fast  Funny Gym Moments. Gym Comedy #GymTok #fittok #fyp #gymfunny #gymcomedy #gymmeme #gymhumor #humor ,False,POV: Showing up to the gym on no sleep and discipline;*Completely drained after the first set ,galore.xxii,FitnessGalore,11800.0,85.0,1800000.0,958.0,4416.0,False,Relationship to Exercise,Exessive Exercise,https://www.tiktok.com/@galore.xxii/video/7298372792758701358,Relationship to Exercise,Other (please specify in Note),2.0,37VE3DA4ZFQBTHQP89QGTS903SBBHB,37VE3DA4ZFQBTHQP89QGTS903SBBHB,3LOZAJ85YZMGEDO2KMKTJ5P5EFX2XS,3PZDLQMM0FUSBFD7TQO65S4VDX8C2Z,A2Z16TCMV40TC5,A3VV4BDC7NDBXY,Mon Jul 21 21:29:22 PDT 2025,Sun Jul 20 22:58:09 PDT 2025,,humor,3.0,1.0,Yes,No,No,No,Relationship to Exercise,Relationship to Exercise,Excessive Exercise,Other (please specify in Note),Not Applicable,Not Applicable,,,@galore.xxii_video_7298372792758701358.mp4,"POV:
Showing up to the
gym on no sleep and
discipline
*Completely drained after
the first set",Music,,,,,,,,,,,,,,,,,,,,,,,,,
4,7450311198089760030,7.45031119808976e+18,No Days Off  . . . #fit #fitness #workout #gymlife #motivation #bodybuilding #muscle #trending #foryou #gainz #workingout #foryoupage #fitaddict #gym #gymrat #fyp #viral #gymworkout #humor,@fitgymnation_video_7450311198089760030,2024-12-19T18:12:41,5.0,US,1090.0,516.0,30.0,37400.0,No Days Off  . . . #fit #fitness #workout #gymlife #motivation #bodybuilding #muscle #trending #foryou #gainz #workingout #foryoupage #fitaddict #gym #gymrat #fyp #viral #gymworkout #humor ,False,,fitgymnation,FitGymNation,7208.0,1396.0,548500.0,189.0,14200.0,False,Relationship to Exercise,Exessive Exercise,https://www.tiktok.com/@fitgymnation/video/7450311198089760030,Relationship to Exercise,Excessive Exercise,2.0,3SV8KD29MP1YD5UDK89GS2WVMC0ZK8,,3TXD01ZLDQQY0N9UJVSUSDNZ4B24UO,,A13G62T12BHUJV,,Sat Jul 05 18:48:36 PDT 2025,,,,2.0,,Yes,,No,,Relationship to Exercise,,Excessive Exercise,,Irrelevant,,,,@fitgymnation_video_7450311198089760030.mp4,"“You need rest days to build muscle”
Me:
@fitgymnation",Speech,I'm not making myself clear. I don't give a fuck,,,,,,,,,,,,,,,,,,,,,,,,
5,7220926888900889899,7.22092688890089e+18,So aggressive  #gymtok #motivation #fyp #gymedit #gymmotivation,@esmereldie_video_7220926888900889899,2023-04-11T15:44:27,22.0,US,86.0,0.0,7.0,2067.0,So aggressive  #gymtok #motivation #fyp #gymedit #gymmotivation ,False,,esmereldie,esmereldie,3301.0,378.0,70100.0,450.0,4005.0,False,Relationship to Exercise,Toxic Motivation,https://www.tiktok.com/@esmereldie/video/7220926888900889899,Relationship to Exercise,Toxic Motivation,4.0,39WSF6KUWNUJS1OWMDNWE9CMIB1OEB,39WSF6KUWNUJS1OWMDNWE9CMIB1OEB,3TEM0PF1QR6VKXG7EZF36ATY1ZXD0D,3BF51CHDTHJCWDL90VYTXV8WTRV0HE,A13G62T12BHUJV,A3VV4BDC7NDBXY,Fri Jul 18 18:38:23 PDT 2025,Wed Jul 23 12:51:06 PDT 2025,,,5.0,3.0,Yes,Yes,No,No,Relationship to Exercise,Relationship to Exercise,Toxic Motivation,Toxic Motivation,Not Applicable,Not Applicable,,,@esmereldie_video_7220926888900889899.mp4,"TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie
TikTok
@esmereldie",Speech,"What excuse is it today, you pathetic little cock-riding bitch? Bet you've sat on your phone for five hours straight eating literal dog shit. Get the fuck off TikTok and go to the fucking gym before you eat yourself a second stomach. You are so lazy and don't deserve to have anything, you complain all day that life's not good enough, yet you sit here scrolling slowly, killing off your brain. Put the phone down and go to the fucking gym.",,,,,,,,,,,,,,,,,,,,,,,,
6,7319638461126823214,,,,2024-01-02T22:55:59,18.0,US,1.0,0.0,0.0,275.0,Spread love! Drop acid not bombs 🪄🫶🏼🙏🏼❤️😵‍💫🤩#vibes #TDKL #mentalhealthmatters #newbeginnings #rave #love #matrix #funny #faith #angel ,False,,tdkldarkknightlight,Dark Knight Light 🙏🏼🫶🏼🌚,,,,,,False,,,,Irrelevant,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,@tdkldarkknightlight_video_7319638461126823214.mp4,"Keep your heart full of love I couldn't speak
properly and yes I said that as a joke lol
sometimes my sense of humor goes right over
yalls heads Imaooooo 😂😂😂❤️😂",Music,,,,,,,,,,,,,,,,,,,,,,,,,
7,7273620514378173701,7.273620514378173e+18,Primal  #primaldiet #king #xtreme #liverking,@0fall__video_7273620514378173701,2023-08-31T15:42:31,63.0,BR,28700.0,986.0,489.0,3800000.0,Primal  #primaldiet #king #xtreme #liverking ,False,,0fall_,FÃ CLUB - LIVER KING,565400.0,0.0,5100000.0,622.0,73.0,False,Dysfunctional Eating,Unsafe Food,https://www.tiktok.com/@0fall_/video/7273620514378173701,Relationship to Food,Unsafe Food,3.5,3VGET1QS0L86OVIOQR00PTXRZQWW79,3VGET1QS0L86OVIOQR00PTXRZQWW79,3CP1TO84PFA7CU4SEG1YRMYLLGN52L,3Z2R0DQ0J3N78DXLPHU1VG4YY9K2EH,A2Z16TCMV40TC5,A3VV4BDC7NDBXY,Mon Jul 21 21:19:38 PDT 2025,Sat Jul 19 11:53:49 PDT 2025,,,5.0,2.0,Yes,Yes,No,No,Relationship to Food,Relationship to Body,Unsafe Food,Muscularity Self-objectification,Not Applicable,Relationship to Food,,Unsafe Food,@0fall__video_7273620514378173701.mp4,"TikTok
@0fall_
TikTok
@0fall_
TikTok
@0fall_
TikTok
@0fall_",Speech,Thanks for watching!,,,,,,,,,,,,,,,,,,,,,,,,
8,7201557720275750187,7.201557720275751e+18,#duet with @kizaru.adm gotta feed that dog in me somehow #gymtok #gymbro #bodybuilding #gymhumor #gymmemes #protein  #greenscreen,@joshliftsandeats_video_7201557720275750187,2023-02-18T10:02:08,7.0,US,80400.0,17700.0,750.0,1300000.0,#duet with @kizaru.adm gotta feed that dog in me somehow #gymtok #gymbro #bodybuilding #gymhumor #gymmemes #protein  #greenscreen ,False,Anabolic dog food?,joshliftsandeats,JoshLifts&Eats,59000.0,739.0,5300000.0,3746.0,45500.0,False,Dysfunctional Eating,Unsafe Food,https://www.tiktok.com/@joshliftsandeats/video/7201557720275750187,Relationship to Food,Unsafe Food,3.0,3NI0WFPPJUPUC53YEA2NCKOR36Q603,3NI0WFPPJUPUC53YEA2NCKOR36Q603,3IO1LGZLKV6EHD6VZGK4TJPO3BA68P,3NAPMVF0ZIOMZYIB29GVP6CHCM827N,A35IH09HYLCMS2,A3U8GRQF795I9C,Tue Jul 01 16:05:07 PDT 2025,Sat Jul 05 23:03:08 PDT 2025,this is mostly a joke/meme but a naive viewer might get crazy ideas,,2.0,4.0,Yes,No,No,No,Relationship to Food,Relationship to Food,Unsafe Food,Unsafe Food,Not Applicable,Not Applicable,,,@joshliftsandeats_video_7201557720275750187.mp4,"Search for a food, brand, or restaurant
Purina Pro Plan
Sport Dog Food
Serving Size: 1 Cup
475
Cal
40%
238g
Carbs
36%
95g
Fat
24%
142g
Protein
Daily Goals
How does this food compare to my goals?
Calorie Goal
1525 Cal",Speech,Google how much protein is in dog food you will find yourself tempted and addicted to eating handfuls of dog food,,,,,,,,,,,,,,,,,,,,,,,,
